Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Pavel Kadeřábek,cz CZE,DF,Hoffenheim,de Bundesliga,32-208,1992,6.1,12,1.96,8,2,1,0,0,1,1,0.16,1,0,0,0,0,0,Matches
Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,32-322,1992,13.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,31-004,1993,5.9,33,5.60,20,6,1,4,2,0,1,0.17,0,0,0,0,1,0,Matches
Paulo Azzi,br BRA,DF,Cagliari,it Serie A,30-127,1994,4.7,15,3.17,9,2,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches
Paul Wanner,de GER,"MF,FW",Heidenheim,de Bundesliga,18-332,2005,8.3,24,2.90,12,7,1,2,2,0,3,0.36,3,0,0,0,0,0,Matches
Paul Onuachu,ng NGA,FW,Southampton,eng Premier League,30-175,1994,0.7,1,1.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Paul Nebel,de GER,"MF,DF",Mainz 05,de Bundesliga,22-040,2002,3.9,5,1.27,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Paul Joly,fr FRA,DF,Auxerre,fr Ligue 1,24-165,2000,4.4,13,2.95,12,0,0,0,1,0,2,0.45,2,0,0,0,0,0,Matches
Pau Victor Delgado,es ESP,FW,Barcelona,es La Liga,22-359,2001,1.6,5,3.10,3,0,1,0,1,0,2,1.24,1,0,0,0,1,0,Matches
Pau Torres,es ESP,DF,Aston Villa,eng Premier League,27-308,1997,11.0,8,0.73,7,0,0,1,0,0,2,0.18,1,0,0,1,0,0,Matches
Pau Navarro,es ESP,DF,Villarreal,es La Liga,19-208,2005,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,17-302,2007,11.4,19,1.67,18,0,0,1,0,0,4,0.35,3,0,0,1,0,0,Matches
Pau Cabanes,es ESP,MF,Villarreal,es La Liga,19-276,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Patrizio Masini,it ITA,"MF,FW",Genoa,it Serie A,23-297,2001,0.6,2,3.53,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,28-300,1996,2.4,7,2.85,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Patrick Wimmer,at AUT,"FW,MF",Wolfsburg,de Bundesliga,23-173,2001,4.4,9,2.07,5,2,1,0,1,0,2,0.46,1,0,0,0,1,0,Matches
Patrick Osterhage,de GER,MF,Freiburg,de Bundesliga,24-292,2000,8.8,20,2.28,15,0,1,2,2,0,2,0.23,1,0,0,1,0,0,Matches
Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,30-013,1994,10.0,10,1.00,9,0,0,1,0,0,1,0.10,0,0,0,1,0,0,Matches
Patrick Erras,de GER,DF,Holstein Kiel,de Bundesliga,29-303,1995,7.2,5,0.69,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Patrick Drewes,de GER,GK,Bochum,de Bundesliga,31-289,1993,10.0,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Patrick Dorgu,dk DEN,"FW,DF",Lecce,it Serie A,20-024,2004,10.4,32,3.06,17,0,3,3,8,1,2,0.19,1,0,0,0,1,0,Matches
Patrick Cutrone,it ITA,FW,Como,it Serie A,26-321,1998,10.4,23,2.21,15,0,1,6,0,1,1,0.10,1,0,0,0,0,0,Matches
Patric,es ESP,DF,Lazio,it Serie A,31-216,1993,5.2,9,1.74,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pathé Ciss,sn SEN,MF,Rayo Vallecano,es La Liga,30-248,1994,3.8,15,3.94,12,0,1,1,0,1,1,0.26,1,0,0,0,0,0,Matches
Pasquale Mazzocchi,it ITA,"DF,FW",Napoli,it Serie A,29-115,1995,4.3,12,2.79,12,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,28-244,1996,1.3,3,2.37,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pascal Groß,de GER,"MF,DF",Dortmund,de Bundesliga,33-157,1991,8.2,33,4.03,17,14,0,1,1,0,3,0.37,3,0,0,0,0,0,Matches
Pape Matar Sarr,sn SEN,MF,Tottenham,eng Premier League,22-066,2002,4.9,14,2.83,11,1,0,1,0,1,4,0.81,3,0,0,1,0,0,Matches
Pape Gueye,sn SEN,MF,Villarreal,es La Liga,25-300,1999,7.1,14,1.96,11,1,0,0,0,2,3,0.42,2,1,0,0,0,0,Matches
Pape Daouda Diongue,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,,,0.6,1,1.76,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Papa Ba,es ESP,MF,Girona,es La Liga,20-068,2004,0.5,2,3.75,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pablo Torre,es ESP,MF,Barcelona,es La Liga,21-230,2003,2.2,9,4.05,7,1,0,0,1,0,2,0.90,2,0,0,0,0,0,Matches
Pablo Sarabia,es ESP,"MF,FW",Wolves,eng Premier League,32-192,1992,2.0,5,2.49,1,3,1,0,0,0,1,0.50,0,0,1,0,0,0,Matches
Pablo Rosario,nl NED,"MF,DF",Nice,fr Ligue 1,27-317,1997,8.8,17,1.94,14,0,1,0,0,2,1,0.11,1,0,0,0,0,0,Matches
Pablo Marín,es ESP,MF,Real Sociedad,es La Liga,21-139,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pablo Marí,es ESP,DF,Monza,it Serie A,31-080,1993,12.0,9,0.75,8,0,0,0,0,1,1,0.08,1,0,0,0,0,0,Matches
Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,27-130,1997,9.2,26,2.83,17,4,3,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Pablo Ibáñez,es ESP,MF,Osasuna,es La Liga,26-060,1998,4.5,7,1.56,5,0,0,1,1,0,2,0.44,1,0,0,0,1,0,Matches
Pablo Fornals,es ESP,"MF,FW",Betis,es La Liga,28-271,1996,10.6,53,5.01,45,5,2,1,0,0,4,0.38,4,0,0,0,0,0,Matches
Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,23-178,2001,2.1,6,2.92,5,0,0,1,0,0,1,0.49,1,0,0,0,0,0,Matches
Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,21-157,2003,7.0,21,3.00,20,0,0,0,0,1,3,0.43,3,0,0,0,0,0,Matches
Oussama Targhalline,ma MAR,MF,Le Havre,fr Ligue 1,22-183,2002,7.3,16,2.18,15,1,0,0,0,0,2,0.27,2,0,0,0,0,0,Matches
Ousmane Toure,fr FRA,DF,Lille,fr Ligue 1,19-275,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,27-188,1997,6.7,45,6.69,29,5,4,3,3,1,8,1.19,6,0,0,1,1,0,Matches
Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,20-335,2003,8.2,19,2.33,16,0,1,2,0,0,2,0.24,2,0,0,0,0,0,Matches
Othmane Maamma,ma MAR,"FW,MF",Montpellier,fr Ligue 1,19-044,2005,0.7,1,1.53,1,0,0,0,0,0,1,1.53,1,0,0,0,0,0,Matches
Óscar Valentín,es ESP,MF,Rayo Vallecano,es La Liga,30-091,1994,9.3,23,2.46,20,0,1,0,2,0,2,0.21,2,0,0,0,0,0,Matches
Óscar Trejo,ar ARG,MF,Rayo Vallecano,es La Liga,36-207,1988,1.7,4,2.42,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,26-144,1998,3.8,13,3.39,8,0,2,1,1,1,3,0.78,2,0,0,0,0,1,Matches
Óscar Mingueza,es ESP,"MF,DF",Celta Vigo,es La Liga,25-190,1999,10.2,30,2.95,26,1,1,0,1,1,7,0.69,6,0,1,0,0,0,Matches
Oscar Højlund,dk DEN,MF,Eint Frankfurt,de Bundesliga,19-320,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Óscar de Marcos,es ESP,DF,Athletic Club,es La Liga,35-219,1989,7.6,17,2.24,15,2,0,0,0,0,5,0.66,5,0,0,0,0,0,Matches
Osame Sahraoui,ma MAR,"FW,MF",Lille,fr Ligue 1,23-161,2001,7.1,34,4.76,26,1,4,2,1,0,4,0.56,3,0,0,1,0,0,Matches
Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,es La Liga,20-082,2004,3.6,2,0.56,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,34-070,1990,10.7,5,0.47,4,1,0,0,0,0,1,0.09,0,1,0,0,0,0,Matches
Oriol Romeu,es ESP,MF,Girona,es La Liga,33-056,1991,4.7,4,0.85,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Orel Mangala,be BEL,MF,Everton,eng Premier League,26-246,1998,5.1,14,2.76,9,1,2,1,1,0,1,0.20,0,0,0,0,1,0,Matches
Orel Mangala,be BEL,MF,Lyon,fr Ligue 1,26-246,1998,0.7,3,4.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,29-350,1994,7.9,27,3.40,12,7,2,3,3,0,4,0.50,3,1,0,0,0,0,Matches
Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,eng Premier League,21-020,2003,9.7,27,2.78,17,0,6,1,2,1,3,0.31,3,0,0,0,0,0,Matches
Omari Forson,eng ENG,"MF,DF",Monza,it Serie A,20-122,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Omar Traoré,de GER,"DF,FW",Heidenheim,de Bundesliga,26-289,1998,8.5,14,1.65,11,1,0,0,2,0,1,0.12,1,0,0,0,0,0,Matches
Omar Mascarell,gq EQG,MF,Mallorca,es La Liga,31-291,1993,6.9,2,0.29,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Omar Marmoush,eg EGY,"FW,MF",Eint Frankfurt,de Bundesliga,25-286,1999,9.3,55,5.95,24,10,8,6,6,1,17,1.84,6,2,5,2,2,0,Matches
Omar El Hilali,ma MAR,DF,Espanyol,es La Liga,21-068,2003,11.6,6,0.52,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Omar Alderete,py PAR,DF,Getafe,es La Liga,27-329,1996,12.0,16,1.33,11,1,0,3,0,1,1,0.08,0,0,0,1,0,0,Matches
Ollie Watkins,eng ENG,FW,Aston Villa,eng Premier League,28-325,1995,9.3,17,1.82,11,0,1,2,3,0,2,0.21,1,0,0,1,0,0,Matches
Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,24-227,2000,0.5,1,2.20,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Oliver Skipp,eng ENG,MF,Leicester City,eng Premier League,24-064,2000,4.5,5,1.12,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Oliver McBurnie,sct SCO,FW,Las Palmas,es La Liga,28-168,1996,7.9,22,2.78,18,0,1,2,1,0,3,0.38,3,0,0,0,0,0,Matches
Oliver Burke,sct SCO,"MF,DF",Werder Bremen,de Bundesliga,27-226,1997,0.4,3,7.11,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34-170,1990,10.0,3,0.30,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-162,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,eng Premier League,27-340,1996,1.2,3,2.48,3,0,0,0,0,0,1,0.83,1,0,0,0,0,0,Matches
Olasagasti,es ESP,MF,Real Sociedad,es La Liga,24-095,2000,0.8,3,3.55,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26-281,1998,6.7,19,2.83,8,0,5,4,2,0,0,0.00,0,0,0,0,0,0,Matches
Ola Solbakken,no NOR,"MF,FW",Empoli,it Serie A,26-073,1998,5.7,8,1.40,7,0,1,0,0,0,1,0.18,1,0,0,0,0,0,Matches
Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-042,1996,10.6,25,2.37,19,3,1,1,0,1,1,0.09,0,0,0,0,0,1,Matches
Oihan Sancet,es ESP,MF,Athletic Club,es La Liga,24-208,2000,7.3,19,2.58,17,0,0,1,1,0,3,0.41,2,0,0,1,0,0,Matches
Oier Zarraga,es ESP,MF,Udinese,it Serie A,25-320,1999,4.4,7,1.61,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,eng Premier League,26-308,1998,1.3,1,0.78,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Odsonne Édouard,fr FRA,FW,Leicester City,eng Premier League,26-308,1998,0.3,2,6.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Odilon Kossounou,ci CIV,DF,Atalanta,it Serie A,23-320,2001,2.9,2,0.68,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Obite N'Dicka,ci CIV,DF,Roma,it Serie A,25-091,1999,12.0,12,1.00,12,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
Nunzio Lella,it ITA,MF,Venezia,it Serie A,24-114,2000,0.1,1,15.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Nuno Tavares,pt POR,DF,Lazio,it Serie A,24-298,2000,8.1,32,3.97,23,3,3,1,2,0,11,1.36,7,1,2,0,1,0,Matches
Nuno Mendes,pt POR,DF,Paris S-G,fr Ligue 1,22-153,2002,4.3,16,3.70,13,1,0,2,0,0,2,0.46,2,0,0,0,0,0,Matches
Noussair Mazraoui,ma MAR,DF,Manchester Utd,eng Premier League,27-005,1997,9.1,13,1.42,12,0,0,0,1,0,1,0.11,1,0,0,0,0,0,Matches
Nordine Kandil,fr FRA,MF,Strasbourg,fr Ligue 1,23-019,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nordi Mukiele,fr FRA,DF,Leverkusen,de Bundesliga,27-018,1997,1.1,1,0.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,22-254,2002,8.4,24,2.86,15,0,5,2,2,0,3,0.36,1,0,0,1,1,0,Matches
Noah Weißhaupt,de GER,FW,Freiburg,de Bundesliga,23-060,2001,0.9,4,4.50,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Noah Okafor,ch SUI,FW,Milan,it Serie A,24-179,2000,4.4,11,2.48,9,0,2,0,0,0,2,0.45,2,0,0,0,0,0,Matches
Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-178,2002,8.0,2,0.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,20-314,2004,1.9,3,1.61,2,0,1,0,0,0,2,1.07,1,0,1,0,0,0,Matches
Nikolas Veratschnig,at AUT,MF,Mainz 05,de Bundesliga,21-300,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nikola Vlašić,hr CRO,"MF,FW",Torino,it Serie A,27-046,1997,4.3,9,2.10,7,0,1,0,1,0,2,0.47,2,0,0,0,0,0,Matches
Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,28-353,1995,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nikola Moro,hr CRO,MF,Bologna,it Serie A,26-252,1998,5.8,25,4.34,19,4,0,1,0,1,3,0.52,1,0,0,1,0,1,Matches
Nikola Milenković,rs SRB,DF,Nott'ham Forest,eng Premier League,27-038,1997,10.0,10,1.00,8,0,0,1,0,1,2,0.20,2,0,0,0,0,0,Matches
Nikola Maksimović,rs SRB,DF,Montpellier,fr Ligue 1,32-360,1991,2.0,1,0.50,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nikola Krstović,me MNE,FW,Lecce,it Serie A,24-228,2000,11.6,37,3.18,22,0,5,7,2,1,1,0.09,1,0,0,0,0,0,Matches
Niklas Süle,de GER,DF,Dortmund,de Bundesliga,29-077,1995,3.7,3,0.81,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Niklas Stark,de GER,DF,Werder Bremen,de Bundesliga,29-219,1995,4.3,4,0.94,3,1,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
Niklas Schmidt,de GER,MF,Toulouse,fr Ligue 1,26-263,1998,1.7,10,5.92,4,4,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,26-309,1998,0.4,1,2.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,26-309,1998,3.6,8,2.25,4,2,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
Niels Nkounkou,fr FRA,"MF,DF",Eint Frankfurt,de Bundesliga,24-018,2000,2.8,11,3.91,7,3,1,0,0,0,1,0.36,0,1,0,0,0,0,Matches
Nicolò Zaniolo,it ITA,"FW,MF",Atalanta,it Serie A,25-140,1999,1.7,9,5.33,7,0,0,2,0,0,2,1.18,2,0,0,0,0,0,Matches
Nicolò Savona,it ITA,DF,Juventus,it Serie A,21-245,2003,7.4,14,1.89,14,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicolò Rovella,it ITA,MF,Lazio,it Serie A,22-351,2001,8.9,13,1.47,8,3,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,23-281,2001,4.9,10,2.03,8,0,0,2,0,0,1,0.20,1,0,0,0,0,0,Matches
Nicolò Casale,it ITA,DF,Bologna,it Serie A,26-279,1998,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicolò Casale,it ITA,DF,Lazio,it Serie A,26-279,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicolò Cambiaghi,it ITA,FW,Bologna,it Serie A,23-327,2000,0.2,1,6.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicolò Barella,it ITA,MF,Inter,it Serie A,27-286,1997,8.2,30,3.64,20,3,3,3,1,0,6,0.73,5,0,1,0,0,0,Matches
Nicolas Viola,it ITA,"MF,FW",Cagliari,it Serie A,35-038,1989,4.3,25,5.80,13,7,2,1,2,0,1,0.23,0,0,0,0,1,0,Matches
Nicolás Tagliafico,ar ARG,DF,Lyon,fr Ligue 1,32-080,1992,5.0,7,1.40,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicolás Serrano,es ESP,FW,Athletic Club,es La Liga,21-259,2003,1.1,2,1.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicolas Seiwald,at AUT,MF,RB Leipzig,de Bundesliga,23-199,2001,3.8,8,2.11,8,0,0,0,0,0,2,0.53,2,0,0,0,0,0,Matches
Nicolas Pépé,ci CIV,"FW,MF",Villarreal,es La Liga,29-174,1995,6.3,19,3.03,15,0,1,2,1,0,3,0.48,3,0,0,0,0,0,Matches
Nicolás Paz,ar ARG,"MF,FW",Como,it Serie A,20-072,2004,8.9,60,6.76,35,9,9,4,2,1,5,0.56,5,0,0,0,0,0,Matches
Nicolas Pallois,fr FRA,DF,Nantes,fr Ligue 1,37-061,1987,6.0,3,0.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicolas Jackson,sn SEN,FW,Chelsea,eng Premier League,23-152,2001,9.6,25,2.60,19,0,4,0,2,0,5,0.52,5,0,0,0,0,0,Matches
Nicolas Höfler,de GER,MF,Freiburg,de Bundesliga,34-255,1990,2.4,10,4.21,10,0,0,0,0,0,1,0.42,1,0,0,0,0,0,Matches
Nicolas Haas,ch SUI,MF,Empoli,it Serie A,28-301,1996,3.2,8,2.51,6,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
Nicolás González,ar ARG,FW,Juventus,it Serie A,26-227,1998,2.5,4,1.60,4,0,0,0,0,0,1,0.40,1,0,0,0,0,0,Matches
Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,26-144,1998,5.8,8,1.38,5,1,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Nicolas Cozza,fr FRA,"DF,MF",Nantes,fr Ligue 1,25-316,1999,6.3,6,0.95,5,0,0,0,1,0,2,0.32,1,0,0,0,1,0,Matches
Nicolai Remberg,de GER,MF,Holstein Kiel,de Bundesliga,24-153,2000,5.2,8,1.54,7,0,0,1,0,0,1,0.19,1,0,0,0,0,0,Matches
Nicola Zalewski,pl POL,"DF,FW",Roma,it Serie A,22-301,2002,5.4,16,2.96,15,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Nicola Sansone,it ITA,"MF,FW",Lecce,it Serie A,33-070,1991,0.6,4,6.32,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Nicola Leali,it ITA,GK,Genoa,it Serie A,31-276,1993,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nico Williams,es ESP,FW,Athletic Club,es La Liga,22-130,2002,8.6,47,5.47,28,5,10,2,1,1,4,0.47,3,0,0,0,1,0,Matches
Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,24-354,1999,8.8,20,2.27,16,1,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches
Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,28-050,1996,5.5,4,0.73,3,0,0,1,0,0,1,0.18,0,0,0,1,0,0,Matches
Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,31-284,1993,0.7,1,1.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nick Woltemade,de GER,"MF,FW",Stuttgart,de Bundesliga,22-279,2002,0.7,5,6.72,3,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,32-214,1992,11.0,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nicholas Pierini,it ITA,MF,Venezia,it Serie A,26-105,1998,0.9,2,2.17,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Niccolò Pisilli,it ITA,MF,Roma,it Serie A,20-057,2004,5.5,21,3.81,15,0,1,2,2,1,2,0.36,1,0,0,1,0,0,Matches
Niama Sissoko,ml MLI,FW,Reims,fr Ligue 1,18-339,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nhoa Sangui,fr FRA,DF,Reims,fr Ligue 1,18-266,2006,5.5,10,1.81,9,1,0,0,0,0,3,0.54,2,1,0,0,0,0,Matches
Ngal'Ayel Mukau,cd COD,MF,Lille,fr Ligue 1,19-355,2004,3.7,5,1.36,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Neto,br BRA,GK,Bournemouth,eng Premier League,35-123,1989,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nemanja Matić,rs SRB,MF,Lyon,fr Ligue 1,36-110,1988,6.5,15,2.30,14,0,0,1,0,0,1,0.15,1,0,0,0,0,0,Matches
Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,es La Liga,33-003,1991,10.0,9,0.90,6,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nelson Weiper,de GER,"MF,FW",Mainz 05,de Bundesliga,19-247,2005,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nélson Semedo,pt POR,DF,Wolves,eng Premier League,31-003,1993,8.7,11,1.27,9,0,2,0,0,0,2,0.23,2,0,0,0,0,0,Matches
Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,23-140,2001,1.2,4,3.27,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Nehuén Pérez,ar ARG,DF,Udinese,it Serie A,24-148,2000,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nediljko Labrović,hr CRO,GK,Augsburg,de Bundesliga,25-040,1999,10.0,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Neco Williams,wls WAL,DF,Nott'ham Forest,eng Premier League,23-220,2001,4.2,10,2.41,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Neal Maupay,fr FRA,FW,Marseille,fr Ligue 1,28-097,1996,3.2,7,2.17,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28-234,1996,8.7,8,0.92,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,eng Premier League,33-228,1991,3.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathaniel Brown,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21-156,2003,2.0,2,0.98,1,0,0,0,1,0,1,0.49,1,0,0,0,0,0,Matches
Nathan Zeze,fr FRA,DF,Nantes,fr Ligue 1,19-154,2005,7.0,2,0.29,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Nathan Tella,ng NGA,"DF,MF",Leverkusen,de Bundesliga,25-137,1999,1.4,2,1.43,2,0,0,0,0,0,1,0.71,1,0,0,0,0,0,Matches
Nathan N'Goumou,fr FRA,FW,Gladbach,de Bundesliga,24-250,2000,2.7,5,1.87,2,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23-203,2001,11.0,13,1.18,7,2,1,2,1,0,4,0.36,1,1,0,1,1,0,Matches
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29-275,1995,0.8,1,1.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Natan,br BRA,DF,Betis,es La Liga,23-287,2001,8.1,3,0.37,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nampalys Mendy,sn SEN,MF,Lens,fr Ligue 1,32-149,1992,1.2,2,1.64,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nahuel Tenaglia,ar ARG,DF,Alavés,es La Liga,28-272,1996,10.5,19,1.81,11,4,0,0,3,1,1,0.10,1,0,0,0,0,0,Matches
Nahuel Molina,ar ARG,DF,Atlético Madrid,es La Liga,26-227,1998,7.8,22,2.81,13,5,2,1,0,1,2,0.26,2,0,0,0,0,0,Matches
Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29-005,1995,2.6,4,1.54,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
