Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Saúl Ñíguez,es ESP,MF,Sevilla,es La Liga,29-364,1994,3.6,13,3.66,10,0,0,2,0,1,2,0.56,2,0,0,0,0,0,Matches
Saúl Coco,gq EQG,DF,Torino,it Serie A,25-284,1999,11.0,4,0.36,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Saša Lukić,rs SRB,MF,Fulham,eng Premier League,28-098,1996,6.1,8,1.32,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Santiago Pierotti,ar ARG,FW,Lecce,it Serie A,23-230,2001,4.8,12,2.52,8,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Santiago Mouriño,uy URU,DF,Alavés,es La Liga,22-280,2002,3.1,3,0.97,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Santiago Castro,ar ARG,FW,Bologna,it Serie A,20-051,2004,9.3,23,2.48,16,0,4,1,1,1,5,0.54,3,0,2,0,0,0,Matches
Santiago Bueno,uy URU,DF,Wolves,eng Premier League,26-010,1998,4.9,3,0.61,3,0,0,0,0,0,1,0.20,1,0,0,0,0,0,Matches
Santi Comesaña,es ESP,MF,Villarreal,es La Liga,28-045,1996,9.4,32,3.39,29,0,0,1,0,2,3,0.32,2,0,0,0,0,1,Matches
Sandro Tonali,it ITA,MF,Newcastle Utd,eng Premier League,24-195,2000,4.6,10,2.18,6,1,0,1,2,0,2,0.44,2,0,0,0,0,0,Matches
Sandro Ramírez,es ESP,"FW,MF",Las Palmas,es La Liga,29-133,1995,6.2,16,2.59,6,7,0,1,2,0,3,0.48,1,1,0,0,1,0,Matches
Sandi Lovrić,si SVN,MF,Udinese,it Serie A,26-236,1998,7.2,30,4.15,23,2,2,2,1,0,4,0.55,4,0,0,0,0,0,Matches
Sander Berge,no NOR,MF,Fulham,eng Premier League,26-279,1998,5.8,11,1.89,9,0,0,0,0,2,1,0.17,1,0,0,0,0,0,Matches
Samuele Vignato,it ITA,MF,Monza,it Serie A,20-269,2004,2.3,2,0.88,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Samuele Ricci,it ITA,MF,Torino,it Serie A,23-090,2001,11.1,19,1.71,16,2,0,0,1,0,1,0.09,1,0,0,0,0,0,Matches
Samuele Birindelli,it ITA,DF,Monza,it Serie A,25-123,1999,2.0,3,1.53,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Mbangula,be BEL,FW,Juventus,it Serie A,20-308,2004,3.6,11,3.08,10,0,0,0,1,0,3,0.84,2,0,0,0,1,0,Matches
Samuel Lino,br BRA,"MF,DF",Atlético Madrid,es La Liga,24-332,1999,6.4,16,2.50,14,0,0,2,0,0,1,0.16,0,0,0,1,0,0,Matches
Samuel Iling-Junior,eng ENG,"FW,MF",Bologna,it Serie A,21-046,2003,1.0,7,6.77,6,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Grandsir,fr FRA,"MF,FW",Le Havre,fr Ligue 1,28-097,1996,0.6,1,1.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Gigot,fr FRA,"DF,MF",Lazio,it Serie A,31-038,1993,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,26-301,1998,5.0,13,2.62,7,1,0,3,2,0,1,0.20,1,0,0,0,0,0,Matches
Samuel Edozie,eng ENG,"DF,FW",Southampton,eng Premier League,21-296,2003,0.7,4,5.54,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Dahl,se SWE,DF,Roma,it Serie A,24-260,2000,0.3,1,3.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Chukwueze,ng NGA,"FW,MF",Milan,it Serie A,25-181,1999,5.6,22,3.91,18,0,3,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Bamba,de GER,"FW,MF",Bochum,de Bundesliga,20-280,2004,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Amo-Ameyaw,eng ENG,DF,Southampton,eng Premier League,18-124,2006,0.1,2,18.00,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Samu Costa,pt POR,MF,Mallorca,es La Liga,23-358,2000,11.2,23,2.05,19,0,1,2,1,0,3,0.27,2,0,0,1,0,0,Matches
Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,eng Premier League,29-056,1995,6.0,5,0.83,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Sam Morsy,eg EGY,MF,Ipswich Town,eng Premier League,33-070,1991,9.9,15,1.51,13,2,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,31-239,1993,5.0,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sam Beukema,nl NED,DF,Bologna,it Serie A,26-002,1998,10.5,12,1.14,9,0,0,3,0,0,2,0.19,0,0,0,2,0,0,Matches
Salih Özcan,tr TUR,MF,Wolfsburg,de Bundesliga,26-313,1998,3.5,11,3.10,7,2,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Saïmon Bouabré,fr FRA,MF,Monaco,fr Ligue 1,18-171,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Saidou Sow,gn GUI,DF,Strasbourg,fr Ligue 1,22-138,2002,10.3,6,0.58,6,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
Saïd Benrahma,dz ALG,"FW,MF",Lyon,fr Ligue 1,29-101,1995,4.9,18,3.67,12,4,2,0,0,0,4,0.81,4,0,0,0,0,0,Matches
Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,19-238,2005,2.0,2,1.02,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,24-067,2000,1.4,3,2.13,1,0,2,0,0,0,2,1.42,1,0,1,0,0,0,Matches
Saba Sazonov,ge GEO,DF,Torino,it Serie A,22-292,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Saba Goglichidze,ge GEO,DF,Empoli,it Serie A,20-147,2004,7.9,2,0.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Saad El Haddad,ma MAR,MF,Venezia,it Serie A,19-118,2005,0.3,2,6.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Yates,eng ENG,MF,Nott'ham Forest,eng Premier League,26-364,1997,9.0,21,2.34,15,0,0,5,0,1,1,0.11,0,0,0,1,0,0,Matches
Ryan Trevitt,eng ENG,MF,Brentford,eng Premier League,21-252,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Manning,ie IRL,"DF,FW",Southampton,eng Premier League,28-158,1996,3.7,9,2.46,4,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Gravenberch,nl NED,MF,Liverpool,eng Premier League,22-187,2002,11.0,17,1.55,15,0,1,1,0,0,4,0.36,4,0,0,0,0,0,Matches
Ryan Fraser,sct SCO,FW,Southampton,eng Premier League,30-269,1994,1.6,2,1.28,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,29-271,1995,7.8,24,3.08,19,1,0,2,2,0,0,0.00,0,0,0,0,0,0,Matches
Ruslan Malinovskyi,ua UKR,"MF,FW",Genoa,it Serie A,31-199,1993,2.5,8,3.21,4,1,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Rui Silva,pt POR,GK,Betis,es La Liga,30-286,1994,13.0,4,0.31,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rui Modesto,ao ANG,DF,Udinese,it Serie A,25-043,1999,0.2,1,4.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ruben Vargas,ch SUI,MF,Augsburg,de Bundesliga,26-106,1998,2.6,16,6.15,8,4,1,2,1,0,0,0.00,0,0,0,0,0,0,Matches
Rubén Peña,es ESP,"FW,MF",Osasuna,es La Liga,33-124,1991,4.3,7,1.62,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,28-301,1996,6.0,22,3.65,18,0,1,1,2,0,2,0.33,1,0,0,0,1,0,Matches
Rubén García,es ESP,"FW,MF",Osasuna,es La Liga,31-128,1993,7.0,25,3.58,13,10,0,1,1,0,3,0.43,1,1,0,1,0,0,Matches
Rúben Dias,pt POR,DF,Manchester City,eng Premier League,27-189,1997,8.1,15,1.86,11,0,0,3,0,1,0,0.00,0,0,0,0,0,0,Matches
Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,31-207,1993,3.0,8,2.67,8,0,0,0,0,0,1,0.33,1,0,0,0,0,0,Matches
Ross Stewart,sct SCO,"FW,MF",Southampton,eng Premier League,28-131,1996,1.5,2,1.36,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,30-350,1993,3.1,8,2.61,8,0,0,0,0,0,2,0.65,2,0,0,0,0,0,Matches
Roméo Lavia,be BEL,MF,Chelsea,eng Premier League,20-318,2004,3.7,6,1.60,6,0,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
Romelu Lukaku,be BEL,FW,Napoli,it Serie A,31-190,1993,7.9,16,2.01,14,0,0,1,1,0,4,0.50,4,0,0,0,0,0,Matches
Romano Schmid,at AUT,MF,Werder Bremen,de Bundesliga,24-297,2000,9.8,44,4.49,36,1,2,3,1,1,6,0.61,6,0,0,0,0,0,Matches
Roman Dixon,eng ENG,DF,Everton,eng Premier League,19-329,2004,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Romain Perraud,fr FRA,DF,Betis,es La Liga,27-058,1997,9.3,16,1.72,12,1,1,2,0,0,1,0.11,0,0,0,1,0,0,Matches
Romain Faivre,fr FRA,"FW,MF",Brest,fr Ligue 1,26-128,1998,4.5,12,2.65,6,3,1,0,1,1,1,0.22,1,0,0,0,0,0,Matches
Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28-235,1996,6.8,40,5.88,19,15,2,2,1,1,3,0.44,3,0,0,0,0,0,Matches
Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,27-143,1997,3.4,10,2.96,6,1,0,0,2,1,0,0.00,0,0,0,0,0,0,Matches
Roland Sallai,hu HUN,"FW,MF",Freiburg,de Bundesliga,27-181,1997,0.5,3,5.87,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rodrygo,br BRA,FW,Real Madrid,es La Liga,23-315,2001,7.4,36,4.87,26,6,2,0,2,0,4,0.54,3,0,1,0,0,0,Matches
Rodrigo Riquelme,es ESP,"DF,MF",Atlético Madrid,es La Liga,24-231,2000,4.3,19,4.45,18,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rodrigo Muniz,br BRA,FW,Fulham,eng Premier League,23-199,2001,3.6,6,1.66,4,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Rodrigo Gomes,pt POR,"FW,MF",Wolves,eng Premier League,21-135,2003,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,30-179,1994,6.2,26,4.16,24,1,0,0,0,1,3,0.48,3,0,0,0,0,0,Matches
Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,27-147,1997,5.9,15,2.52,10,0,1,3,0,1,0,0.00,0,0,0,0,0,0,Matches
Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-191,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rodri,es ESP,MF,Manchester City,eng Premier League,28-150,1996,0.7,2,2.77,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rodri,es ESP,FW,Betis,es La Liga,24-187,2000,1.3,11,8.39,7,2,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Rocco Reitz,de GER,MF,Gladbach,de Bundesliga,22-174,2002,6.2,21,3.41,16,0,1,0,1,3,3,0.49,3,0,0,0,0,0,Matches
Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,30-022,1994,10.0,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Robin Le Normand,es ESP,DF,Atlético Madrid,es La Liga,28-008,1996,7.0,2,0.29,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
